 #Kpoint 
            8            1  (3.4560995710457108E-004,0.000000000000000)
            9            1  (7.3795131600513589E-005,0.000000000000000)
           10            1  (-1.6764391433303179E-004,0.000000000000000)
           11            1  (4.3304097883284072E-004,0.000000000000000)
           12            1  (1.4939633979365539E-004,0.000000000000000)
            8  -0.5161059057706404     
            1            1  (-0.2455797242340206,0.000000000000000)
            1            2  (-4.6466710142451043E-004,0.000000000000000)
            1            3  (-6.5943108738454522E-005,0.000000000000000)
            1            4  (0.2094926365722710,0.000000000000000)
            2            1  (0.2461362888689319,0.000000000000000)
            2            2  (0.1716732399090493,0.000000000000000)
            2            3  (9.5620603527438552E-005,0.000000000000000)
            2            4  (-0.1001982737678023,0.000000000000000)
            3            1  (-0.2464845563835808,0.000000000000000)
            3            2  (-0.1719853933486860,0.000000000000000)
            3            3  (-9.1516190130066702E-005,0.000000000000000)
            3            4  (-0.1013896958213551,0.000000000000000)
            4            1  (0.2461291639595767,0.000000000000000)
