^C         21877593 function calls (21875643 primitive calls) in 87.336 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 art3d.py:241(PathPatch3D)
        1    0.000    0.000    0.000    0.000 art3d.py:290(Patch3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:344(Poly3DCollection)
        1    0.000    0.000    0.000    0.000 art3d.py:52(Text3D)
        1    0.004    0.004    0.004    0.004 art3d.py:9(<module>)
        1    0.000    0.000    0.000    0.000 art3d.py:92(Line3D)
        1    0.014    0.014    0.061    0.061 artist.py:1(<module>)
       11    0.001    0.000    0.024    0.002 artist.py:1018(pprint_setters)
       11    0.000    0.000    0.033    0.003 artist.py:1304(kwdoc)
       27    0.000    0.000    0.000    0.000 artist.py:29(allow_rasterization)
        1    0.000    0.000    0.000    0.000 artist.py:66(Artist)
        1    0.000    0.000    0.001    0.001 artist.py:859(ArtistInspector)
       11    0.000    0.000    0.009    0.001 artist.py:865(__init__)
       11    0.004    0.000    0.009    0.001 artist.py:883(get_aliases)
      407    0.002    0.000    0.007    0.000 artist.py:911(get_valid_values)
       11    0.004    0.000    0.016    0.001 artist.py:939(_get_setters_and_targets)
     1453    0.001    0.000    0.002    0.000 artist.py:973(is_alias)
      407    0.000    0.000    0.000    0.000 artist.py:983(aliased_name)
       18    0.000    0.000    0.000    0.000 atexit.py:37(register)
        1    0.000    0.000    0.000    0.000 atexit.py:6(<module>)
        1    0.006    0.006    0.006    0.006 atomic.py:1(<module>)
   168800    1.028    0.000    1.749    0.000 atomic.py:105(sortPAOs)
